,artist,album,track_name,popularity,img_url,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,text_data
163,Various Artists,Khamoshiyan (Original Motion Picture Soundtrack),Khamoshiyan,62,https://i.scdn.co/image/ab67616d0000b2738d07544fddf5b7d9a1e41554,0.527,0.521,2,-6.837,0,0.0272,0.0,0.158,0.266,143.892,Khamoshiyan Various Artists Khamoshiyan (Original Motion Picture Soundtrack)
164,Shankar-Ehsaan-Loy,Dil Chahta Hai,Woh Ladki Hai Kahan,62,https://i.scdn.co/image/ab67616d0000b2735da5e18b4f9a33d42e737c21,0.786,0.677,8,-8.624,1,0.183,0.000104,0.0446,0.858,94.985,Woh Ladki Hai Kahan Shankar-Ehsaan-Loy Dil Chahta Hai
165,Pritam,Race 2 (Original Motion Picture Soundtrack),Be Intehaan,62,https://i.scdn.co/image/ab67616d0000b2730df18810131fd56a87a5fc7a,0.56,0.696,7,-5.583,1,0.0473,0.0,0.325,0.39,128.849,Be Intehaan Pritam Race 2 (Original Motion Picture Soundtrack)
166,Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Kala Chashma,62,https://i.scdn.co/image/ab67616d0000b27303c03da08efb9051d8fae5d5,0.801,0.856,0,-4.233,1,0.065,6.62e-05,0.228,0.919,106.026,Kala Chashma Various Artists Baar Baar Dekho (Original Motion Picture Soundtrack)
167,Krsna Solo,Tanu Weds Manu,Sadi Gali,62,https://i.scdn.co/image/ab67616d0000b27388cd0451da5de305f16ae6f9,0.726,0.994,5,-2.433,0,0.0543,0.0108,0.222,0.779,129.989,Sadi Gali Krsna Solo Tanu Weds Manu
168,Pritam,Murder 3 (Original Motion Picture Soundtrack),Mat Aazma Re,62,https://i.scdn.co/image/ab67616d0000b2737e25e913e1df98dbec43e4a2,0.467,0.859,0,-2.946,0,0.0409,0.0,0.0522,0.673,89.842,Mat Aazma Re Pritam Murder 3 (Original Motion Picture Soundtrack)
169,Various Artists,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Buddhu Sa Mann,62,https://i.scdn.co/image/ab67616d0000b273739d47018b9361084a51663e,0.644,0.87,10,-4.816,1,0.0394,0.0,0.549,0.702,125.998,Buddhu Sa Mann Various Artists Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack)
170,Yo Yo Honey Singh,Dheere Dheere,Dheere Dheere,62,https://i.scdn.co/image/ab67616d0000b273d2ca4ba1030b7fefd8e53464,0.73,0.58,0,-7.976,1,0.124,2.48e-05,0.0703,0.55,167.915,Dheere Dheere Yo Yo Honey Singh Dheere Dheere
171,Various Artists,RAAZ - The Mystery Continues (Original Motion Picture Soundtrack),Maahi,62,https://i.scdn.co/image/ab67616d0000b273bf8dad28cba0f3680ee29364,0.463,0.84,9,-4.035,0,0.0955,0.0,0.351,0.385,153.941,Maahi Various Artists RAAZ - The Mystery Continues (Original Motion Picture Soundtrack)
172,The Yellow Diary,Roz Roz,Roz Roz,62,https://i.scdn.co/image/ab67616d0000b273865ed13ededd7c8ae56abbd6,0.653,0.446,0,-7.867,1,0.0351,4.52e-05,0.109,0.472,100.018,Roz Roz The Yellow Diary Roz Roz
